movieId,title,genres,tag,imdbId,tmdbId,director,cast,keywords
31,Dangerous Minds (1995),Drama,highschool teacher,112792,9909.0,johnn.smith,"['michellepfeiffer', 'georgedzundza', 'courtneyb.vance']","['highschool', 'california', 'rapmusic', 'karate', 'navalofficer', 'teacher', 'basedonmemoirorautobiography', 'amusementpark', 'schoolteacher']"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,timetravel timetravel bradpitt brucewillis mindfuck postapocalyptic post-apocalyptic remake timetravel twistending,114746,63.0,terrygilliam,"['brucewillis', 'madeleinestowe', 'bradpitt']","['biologicalweapon', 'philadelphia,pennsylvania', 'schizophrenia', 'stockholmsyndrome', 'airplane', 'worldwari', 'underground', 'insanity', 'asylum', 'paranoia', 'prisoncell', 'dystopia', 'pimp', 'lion', 'post-apocalypticfuture', 'timetravel', 'floridakeys', 'mentalbreakdown', 'melancholy', 'past', 'dormitory', 'insaneasylum', 'cockroach', 'volunteer', 'druguse', 'flashback', 'remake', 'psychiatrichospital', 'jail', 'mentalinstitution', 'alternatehistory', 'disease', 'lethalvirus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'fallingdownstairs', 'streetlife', 'nonlineartimeline', 'medicalresearch', 'tooth', 'pantyhose', 'gasmask', 'psychosis', ""child'spointofview"", 'subterranean', 'virus', 'mysterious', 'recurringdream', '1990s', 'reflective', 'escapedanimal', 'futurenoir', '2030s', 'inspirational', 'suspenseful', 'critical', 'intense', 'complicated', 'ominous']"
34,Babe (1995),Children|Drama,animalmovie pigs villainnonexistentornotneededforgoodstory,112431,9598.0,chrisnoonan,"['christinecavanaugh', 'miriammargolyes', 'dannymann']","['farm', 'sheep', 'pig', 'alarmclock', 'cat', 'duck', 'heroism', 'affection', 'piglet', 'anthropomorphism', ""basedonchildren'sbook"", 'dog', 'separation', 'farmer', 'grandson', 'sheepdog', 'talkingpig', 'christmas']"
36,Dead Man Walking (1995),Crime|Drama,deathpenalty nun,112818,687.0,timrobbins,"['susansarandon', 'seanpenn', 'robertprosky']","['prison', 'deathpenalty', 'rightandjustice', 'rape', 'rageandhate', 'unsociability', 'courtcase', 'court', 'nun', 'penalty', 'therapist', 'sentence', 'forgiveness', 'self-discovery', 'despair', 'prisoncell', 'sociallydeprivedfamily', 'deathrow', 'doomedman', 'deathsentence', 'lethalinjection', 'charity', 'mercypetition', 'cowardliness', 'angry', 'dreary', 'incredulous', 'depressing', 'bitter', 'callous', 'horrified']"
38,It Takes Two (1995),Children|Comedy,twins,113442,33689.0,andytennant,"['kirstiealley', 'steveguttenberg', 'ashleyolsen']","['matchmaking', 'orphan', 'identicaltwin', 'relationshipsabotage']"
39,Clueless (1995),Comedy|Romance,chickflick funny paulrudd quotable seenmorethanonce emma janeausten,112697,9603.0,amyheckerling,"['aliciasilverstone', 'staceydash', 'brittanymurphy']","['puberty', 'highschool', 'basedonnovelorbook', 'makeamatch', 'spoiledchild', 'comingofage', 'matchmaking', 'conflict', 'wedding', 'highschoolfriends', 'makeover', 'womandirector', 'populargirl', 'matchmaker', 'gaytheme', 'matchmaking']"
40,"Cry, the Beloved Country (1995)",Drama,innetflixqueue southafrica,112749,34615.0,darrelljamesroodt,"['richardharris', 'jamesearljones', 'charless.dutton']","['basedonnovelorbook', 'southafrica', 'apartheid', 'priest', '1940s', 'racerelations']"
41,Richard III (1995),Drama|War,shakespeare,114279,31174.0,richardloncraine,"['ianmckellen', 'annettebening', 'jimbroadbent']","['england', 'kidnapping', 'murder', 'king']"
42,Dead Presidents (1995),Action|Crime|Drama,,112819,11443.0,alberthughes,"['larenztate', 'keithdavid', 'christucker']","['vietnam', 'drugabuse', 'post-traumaticstressdisorder(ptsd)', 'warveteran', 'redemption', 'lossofvirginity', 'heist', 'money', 'revolutinoary', 'mercykilling', 'armoredtruck', 'bronx,newyorkcity', 'medic', '1960s']"
43,Restoration (1995),Drama,england,114272,35196.0,michaelhoffman,"['robertdowneyjr.', 'megryan', 'samneill']","['jealousy', 'court', 'fountain', 'medicine', 'wealth', 'spaniel', 'gloves', '17thcentury', 'britishmonarchy']"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,,113855,9312.0,paulw.s.anderson,"['robinshou', 'lindenashby', 'bridgettewilson-sampras']","['island', 'martialarts', 'monster', 'savingtheworld', 'magic', 'villain', 'gore', 'god', 'alternatedimension', 'ninja', 'sorcerer', 'tournament', 'undergroundfighting', 'basedonvideogame', 'ghost', 'handtohandcombat', 'warrior', 'actionhero', 'supernaturalpower', 'mortalkombat', 'goodversusevil']"
45,To Die For (1995),Comedy|Drama|Thriller,journalism,114681,577.0,gusvansant,"['nicolekidman', 'mattdillon', 'joaquinphoenix']","['adultery', 'basedonnovelorbook', 'winter', 'obsession', 'newhampshire', 'mockumentary', 'narcissisticpersonalitydisorder', 'satirical']"
46,How to Make an American Quilt (1995),Drama|Romance,wedding,113347,11861.0,jocelynmoorhouse,"['winonaryder', 'annebancroft', 'ellenburstyn']","['marriageproposal', 'weddingvows', 'marriedcouple', 'marriage', 'monogamy', 'advice', 'quilt', 'love', 'familyholiday', 'extramaritalaffair', 'grandmother', 'womandirector']"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery twistending serialkiller,114369,807.0,davidfincher,"['morganfreeman', 'bradpitt', 'gwynethpaltrow']","['rageandhate', 'police', 's.w.a.t.', 'sadism', 'self-fulfillingprophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serialkiller', 'religion', 'shootout', 'corpse', 'macabre', 'sevendeadlysins', 'depravity', 'neo-noir', 'calm', 'urbangothic', 'sinister', 'ambiguous', 'ominous', 'seven:lossietepecadoscapitales']"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,,114148,10530.0,mikegabriel,"['irenebedard', 'melgibson', 'davidogdenstiers']","['princess', 'cultureclash', 'cartoon', 'villain', 'colony', 'forbiddenlove', 'musical', 'goldrush', 'nativeamerican', 'colonisation', 'virginia', 'starcrossedlovers', 'interculturalrelationship', 'basedonmyths,legendsorfolklore', '17thcentury', 'shamanism', 'animalsidekick']"
49,When Night Is Falling (1995),Drama|Romance,,114916,8391.0,patriciarozema,"['pascalebussières', 'rachaelcrawford', 'henryczerny']","['professor', 'lgbt', 'womandirector', 'lesbian']"
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,mindfuck suspense thriller tricky twistending heist,114814,629.0,bryansinger,"['stephenbaldwin', 'gabrielbyrne', 'beniciodeltoro']","['newyorkcity', 'robbery', 'affectation', 'relatives', 'heist', 'flashback', 'policecorruption', 'whodunit', 'losangeles,california', 'theft', 'criminal', 'criminalmastermind', 'cargoship', 'mindgame', 'shocking', 'neo-noir', 'mysteryvillain', 'incredulous']"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,adoption prostitution,113819,11448.0,woodyallen,"['woodyallen', 'mirasorvino', 'helenabonhamcarter']","['prostitute', 'adoption', 'adoptivefather', 'childlessness', 'lookingforbirthparents', 'adoptivemother', 'illegalprostitution', 'kids']"
53,Lamerica (1994),Adventure|Drama,,110299,49133.0,gianniamelio,"['enricoloverso', 'micheleplacido', 'piromilkani']",[]
54,"Big Green, The (1995)",Children|Comedy,,112499,26441.0,hollygoldbergsloan,"[""oliviad'abo"", 'steveguttenberg', 'chaunceyleopardi']","['sports', 'football(soccer)', 'womandirector']"
55,Georgia (1995),Drama,,113158,97406.0,ulugrosbard,"['jenniferjasonleigh', 'marewinningham', 'tedlevine']","['siblingrelationship', 'alcohol', 'heroin', 'seattle,washington', 'artist', 'singer', 'drugs', 'folksinger', 'sistersisterrelationship']"
57,Home for the Holidays (1995),Drama,,113321,9089.0,jodiefoster,"['hollyhunter', 'robertdowneyjr.', 'annebancroft']","['generationsconflict', 'baltimore,usa', 'thanksgiving', 'familyclan', 'familyconflict', 'womandirector', 'christmas']"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,writing,110877,11010.0,michaelradford,"['massimotroisi', 'philippenoiret', 'mariagraziacucinotta']","['island', 'fisherman', 'letter', 'postman', 'poet', 'naples,italy', 'love', 'poverty']"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,,113419,11359.0,frankoz,"['halscardino', 'litefoot', 'lindsaycrouse']","['basedonnovelorbook', 'cupboard', 'puppet', ""basedonchildren'sbook"", 'game', 'parallelworld', 'toycomestolife', 'toysoldier']"
61,Eye for an Eye (1996),Drama|Thriller,,116260,17182.0,johnschlesinger,"['sallyfield', 'kiefersutherland', 'edharris']","['rape', 'gun', 'self-defense', 'rapeandrevenge', 'grievingparents']"
62,Mr. Holland's Opus (1995),Drama,music,113862,2054.0,stephenherek,"['richarddreyfuss', 'glenneheadly', 'jaythomas']","['highschool', 'husbandwiferelationship', 'composer', 'musicteacher', 'mentor', 'deaf-mute', 'portland,oregon', 'marchingband', 'teacherstudentrelationship', 'highschoolteacher', 'disabled', 'teaching', 'retirementparty', 'signlanguages', 'forcedretirement', '1960s', '1990s', 'fathersonrelationship', 'inspiringteacher']"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,116126,10607.0,parisbarclay,"['shawnwayans', 'marlonwayans', 'traceycherellejones']","['hip-hop', 'slang', 'date', 'gangster', 'cousin', 'parody', 'socialsatire', 'hood', 'gang', 'racism']"
64,Two if by Sea (1996),Comedy|Romance,,118002,19760.0,billbennett,"['sandrabullock', 'denisleary', 'yaphetkotto']","['island', 'boston,massachusetts', 'carthief', 'painting', 'romcom', 'rhodeisland', 'thief', 'mansion', 'artthief', 'newengland', 'arttheft', 'stealingacar', 'seasickness', 'squatting', '1990s', 'stolencar', 'fbiagent', 'criminals']"
65,Bio-Dome (1996),Comedy,,115683,9536.0,jasonbloom,"['paulyshore', 'stephenbaldwin', 'williamatherton']","['pollution', 'biotope', 'vegetarian', 'biosphere']"
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,116839,11525.0,farhadmann,"['patrickbergin', 'mattfrewer', ""austino'brien""]","['computer', 'hacker', 'virtualreality', 'technology', 'swordfight', 'revenge', 'cyberpunk', 'scientist', 'cyberspace', 'surveillance', 'basedonshortstory', 'worlddomination', 'supernaturalpower']"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,,113149,4482.0,josianebalasko,"['victoriaabril', 'josianebalasko', 'alainchabat']","['estateagent', 'van', 'lovetriangle', 'southernfrance', 'menageatrois', 'polyamory', 'womandirector']"
69,Friday (1995),Comedy,,113118,10634.0,f.garygray,"['icecube', 'christucker', 'nialong']","['drugdealer', 'rapmusic', 'parentchildrelationship', 'rapper', 'malefriendship', 'urbanlife', 'slacker', 'potsmoking', 'bully', 'marijuana', 'losangeles,california', 'drugs', 'hilarious']"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,,116367,755.0,robertrodriguez,"['georgeclooney', 'quentintarantino', 'harveykeitel']","['dancing', 'showdown', 'sheriff', 'siblingrelationship', 'vampire', 'bankrobber', 'holywater', 'siege', 'stripper', 'priest', 'bankrobbery', 'preacher', 'hostagesituation', 'crucifix', 'recreationalvehicle', 'mexicanamericanborder', 'femalestripping', 'boaconstrictor', 'lossoffaith', 'footfetish', 'killerontherun', 'barefoot', 'witty']"
71,Fair Game (1995),Action,,113010,11859.0,andrewsipes,"['williambaldwin', 'cindycrawford', 'stevenberkoff']","['hacker', 'basedonnovelorbook', 'miami,florida', 'bomb', 'chase', 'sadism', 'kidnapping', 'hostage', 'psychopath', 'spy', 'detective', 'handcuffs', 'fbi', 'kgb', 'pizza', 'parkinggarage', 'policeprotection', 'carcrash', 'remake', 'fugitive', 'ontherun', 'conspiracy', 'shootout', 'gunfight', 'sadist', 'footchase', 'policedetective', 'policestation', 'heldatgunpoint', 'doublecross', 'machinegun', 'grenadelauncher', 'rogueagent', 'womanlawyer', 'damselindistress']"
72,Kicking and Screaming (1995),Comedy|Drama,,113537,28387.0,noahbaumbach,"['joshhamilton', ""oliviad'abo"", 'chriseigeman']","['friendship', 'college', 'malefriendship', 'campus', 'videostore', 'graduate']"
73,"Misérables, Les (1995)",Drama|War,,113828,48750.0,claudelelouch,"['jean-paulbelmondo', 'michelboujenah', 'alessandramartines']","['paris,france', 'nun', 'boxer', 'lawyer']"
74,Bed of Roses (1996),Drama|Romance,,115644,20927.0,michaelgoldenberg,"['christianslater', 'marystuartmasterson', 'pamelaadlon']","['florist', 'familyrelationships']"
75,Big Bully (1996),Comedy|Drama,,115676,36929.0,steveminer,"['rickmoranis', 'tomarnold', 'juliannephillips']",['bully']
76,Screamers (1995),Action|Sci-Fi|Thriller,,114367,9102.0,christianduguay,"['peterweller', 'jenniferrubin', 'roydupuis']","['manvsmachine', 'alienplanet', 'struggleforsurvival', 'androidhorror']"
77,Nico Icon (1995),Documentary,,113973,124626.0,susanneofteringer,"['nico', 'tinaaumont', 'christianaaronboulogne']",[]
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,112744,27526.0,seanpenn,"['jacknicholson', 'davidmorse', 'anjelicahuston']","['lossoflovedone', 'hit-and-run', 'revenge', 'tragedy']"
79,"Juror, The (1996)",Drama|Thriller,,116731,9623.0,briangibson,"['demimoore', 'alecbaldwin', 'josephgordon-levitt']","['courtcase', 'jurors', 'blackmail', 'son', 'trial', 'courtroom', 'blasphemy', 'courtroomdrama', 'legalthriller']"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,112445,46785.0,jafarpanahi,"['aidamohammadkhani', 'mohsenkafili', 'fereshtehsadrorafaee']","['fish', 'money', 'celebration', 'goldfish']"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,,114660,400.0,garyfleder,"['andygarcía', 'christopherlloyd', 'williamforsythe']","['friendship', 'bountyhunter', 'hitman', 'parentchildrelationship', 'gangster', 'psychopath', 'boat', 'wayoflife', 'paranoia', 'coffin', 'denver,colorado', 'godmother', 'diner', 'revenge', 'murder', 'mafia', 'illegalprostitution', 'extramaritalaffair']"
82,Antonia's Line (Antonia) (1995),Comedy|Drama,,112379,880.0,marleengorris,"['willekevanammelrooy', 'elsdottermans', 'doravandergroen']","['underdog', 'mentallydisabled', 'suicide', 'rightandjustice', 'rape', 'freelove', 'parentchildrelationship', 'lossoflovedone', 'villagelife', 'philosophy', 'widow', 'freedom', 'peasant', 'village', 'worldwarii', 'mathematics', 'feminism', 'indiansummer', 'familyhistory', 'single', 'malehomosexuality', 'domesticviolence', 'university', 'womandirector']"
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,114039,146599.0,timreid,"['alfreemanjr.', 'phyliciarashād', 'paulakelly']","['racialsegregation', 'familyrelationships', 'ruralarea']"
85,Angels and Insects (1995),Drama|Romance,,112365,8447.0,philiphaas,"['markrylance', 'kristinscottthomas', 'patsykensit']","['classsociety', 'insect', 'richwomanpoorman', 'victorianengland', 'scientist', 'incest', 'basedonshortstory', 'naturalist', 'brothersistersex', 'cheatingwife', 'brothersisterincest']"
86,White Squall (1996),Action|Adventure|Drama,,118158,10534.0,ridleyscott,"['jeffbridges', 'carolinegoodall', 'johnsavage']","['sailingtrip', 'sailing', 'diary', 'comingofage', 'survival', 'teenageboy', 'discipline', 'squall', 'sail', 'caribbeansea', 'malebonding', 'seasickness', 'stormatsea', '1960s', 'gayinterest']"
87,Dunston Checks In (1996),Children|Comedy,,116151,17414.0,kenkwapis,"['samtheorangutan', 'jasonalexander', 'fayedunaway']","['boss', 'fistfight', 'bully', 'orangutan', 'singlefather', 'hotelmanager', 'jeweltheft', 'employeremployeerelationship', 'bali', 'fathersonrelationship', 'brotherbrotherrelationship', 'mischief']"
88,Black Sheep (1996),Comedy,,115697,13997.0,penelopespheeris,"['chrisfarley', 'davidspade', 'timmatheson']","['corruptpolitician', 'nitrousoxide', 'candidcamera', 'doubleact', 'politicalsatire', 'womandirector']"
89,Nick of Time (1995),Action|Thriller,,113972,2086.0,johnbadham,"['johnnydepp', 'courtneychase', 'charless.dutton']","['assassination', 'politics', 'losangeles,california']"
92,Mary Reilly (1996),Drama|Horror|Thriller,jekyllandhyde,117002,9095.0,stephenfrears,"['juliaroberts', 'johnmalkovich', 'georgecole']","['monster', 'servant', 'laboratory', 'jekyllandhyde', 'housemaid', '19thcentury']"
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,,114825,12158.0,wescraven,"['angelabassett', 'eddiemurphy', 'allenpayne']","['vampire', 'brooklyn,newyorkcity', 'africanamericancomedy', 'africanamericanromance', 'africanamericanlead', 'blackvampire']"
94,Beautiful Girls (1996),Comedy|Drama|Romance,,115639,9283.0,teddemme,"['timothyhutton', 'mattdillon', 'noahemmerich']","['friendship', 'smalltown', 'massachusetts', 'comingofage', 'hometown', 'groupoffriends']"
95,Broken Arrow (1996),Action|Adventure|Thriller,,115759,9208.0,johnwoo,"['johntravolta', 'christianslater', 'samanthamathis']","['canyon', 'helicopter', 'captain', 'underground', 'river', 'mexicanstandoff', 'countdown', 'pilot', 'fistfight', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'parkranger', 'desert', 'military', 'hostile', 'nucleardevice', 'boxing', 'stealthaircraft', 'abandonedmine', 'actionhero', 'humvee', 'antagonistic', 'audacious', 'authoritarian', 'ominous', 'goodvsevil']"
96,In the Bleak Midwinter (1995),Comedy|Drama,theater,113403,40154.0,kennethbranagh,"['michaelmaloney', 'richardbriers', 'joancollins']","['transvestite', 'theatregroup', 'blackandwhite', 'nostalgic', 'hamlet', 'christmas', 'gaytheme', 'theater']"
97,"Hate (Haine, La) (1995)",Crime|Drama,,113247,406.0,mathieukassovitz,"['vincentcassel', 'hubertkoundé', 'saïdtaghmaoui']","['neo-nazism', 'policebrutality', 'hip-hop', 'paris,france', 'sociallydeprivedfamily', 'breakdance', 'ghetto', 'malefriendship', 'racism', 'blackandwhite', 'xenophobia', 'dayinalife', 'aggressive', 'parissuburb']"
